Data,Categoria,Descricao,Valor,Tipo
2026-01-05,Receita,Entrada Total Janeiro,5500.00,Receita
2026-01-05,Alimentação,MartMinas (Dez),264.45,Despesa
2026-01-05,Alimentação,Esquinão (Dez),62.74,Despesa
2026-01-05,Alimentação,Esquinão (Dez),30.00,Despesa
2026-01-05,Alimentação,Esquinão (Dez),12.28,Despesa
2026-01-05,Alimentação,Esquinão (Dez),27.31,Despesa
2026-01-05,Alimentação,BH (Dez),91.66,Despesa
2026-01-05,Alimentação,Topo Frio (Dez),22.72,Despesa
2026-01-05,Contas Fixas,Bradesco (Dez),321.00,Despesa
2026-01-05,Contas Fixas,Itau (Dez),1000.00,Despesa
2026-01-05,Contas Fixas,will (Dez),458.00,Despesa
2026-01-05,Contas Fixas,Neon (Dez),166.00,Despesa
2026-01-05,Contas Fixas,Players (Dez),118.11,Despesa
2026-01-05,Contas Fixas,Magazine (Dez),320.00,Despesa
2026-01-05,Contas Fixas,Edmil (Dez),251.00,Despesa
2026-01-05,Contas Fixas,Celular Plano (Dez),60.00,Despesa
2026-01-05,Moradia,Luz (Dez),250.00,Despesa
2026-01-05,Moradia,Internet (Dez),135.00,Despesa
2026-01-05,Empréstimos,Emprestimo (Dez),149.00,Despesa
2026-01-05,Empréstimos,Moto (Dez),730.00,Despesa
2026-01-05,Educação,Faculdade (Dez),173.00,Despesa
2026-01-05,Lazer,Compras Rua Kyara (Dez),18.75,Despesa
2026-01-05,Lazer,Compras Rua Kyara (Dez),12.99,Despesa
2026-01-05,Lazer,Compras Rua Kyara (Dez),9.00,Despesa
2026-01-05,Lazer,Compras Rua Kyara (Dez),13.00,Despesa
2026-01-05,Lazer,Compras Rua Kyara (Dez),50.00,Despesa
2026-01-05,Lazer,Compras Rua Kyara (Dez),7.99,Despesa
2026-01-05,Lazer,Compras Rua Kyara (Dez),29.39,Despesa
2026-01-05,Lazer,Compras Rua Kyara (Dez),14.97,Despesa
2026-01-05,Lazer,Calça Otavio (Dez),87.50,Despesa
2026-01-05,Lazer,Roupa KIKI (Dez),45.00,Despesa
2026-01-05,Saúde,Remedio (Dez),200.00,Despesa
2026-02-05,Alimentação,Comida rua,30.5,Despesa
2026-02-05,Salário,Salário Mensal,3800.0,Receita
2026-02-05,Benefícios,Vale Alimentação,350.0,Receita
2026-02-05,Contas Fixas,Bradesco (Jan),184.28,Despesa
2026-02-05,Contas Fixas,Itau (Jan),801.81,Despesa
2026-02-05,Contas Fixas,will (Jan),400.00,Despesa
2026-02-05,Contas Fixas,Neon (Jan),166.87,Despesa
2026-02-05,Contas Fixas,Players (Jan),120.00,Despesa
2026-02-05,Contas Fixas,Edmil (Jan),251.00,Despesa
2026-02-05,Contas Fixas,Edmil Celular (Jan),169.23,Despesa
2026-02-05,Contas Fixas,Celular Plano (Jan),33.00,Despesa
2026-02-05,Moradia,Luz (Jan),250.00,Despesa
2026-02-05,Moradia,Internet (Jan),135.00,Despesa
2026-02-05,Lazer,Açai (Jan),45.00,Despesa
2026-02-05,Empréstimos,Moto (Jan),730.00,Despesa
2026-03-05,Salário,Salário Mensal,3800.0,Receita
2026-03-05,Benefícios,Vale Alimentação,350.0,Receita
2026-03-05,Contas Fixas,Bradesco (Mar),184.28,Despesa
2026-03-05,Contas Fixas,Itau (Mar),34.18,Despesa
2026-03-05,Contas Fixas,will (Mar),468.00,Despesa
2026-03-05,Contas Fixas,Neon (Mar),140.00,Despesa
2026-03-05,Contas Fixas,Players (Mar),120.66,Despesa
2026-03-05,Contas Fixas,Edmil (Mar),251.00,Despesa
2026-03-05,Contas Fixas,Edmil Celular (Mar),169.23,Despesa
2026-03-05,Contas Fixas,Celular Plano (Mar),33.00,Despesa
2026-03-05,Moradia,Internet (Mar),135.00,Despesa
2026-03-05,Moradia,Luz (Mar),250.00,Despesa
2026-03-05,Empréstimos,Moto (Mar),730.00,Despesa
2026-03-05,Alimentação,Compra Mes (Mar),1000.00,Despesa

